Ligand Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ligand Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ligand Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ligand Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.89,,41.04
2024-06-30,84.26,$2.58,32.66
2024-03-31,73.1,$1.87,39.15
2023-12-31,71.42,$2.59,27.54
2023-09-30,59.92,$5.32,11.27
2023-06-30,72.1,$5.80,12.43
2023-03-31,73.56,$6.06,12.13
2022-12-31,66.8,$7.11,9.4
2022-09-30,86.11,$5.46,15.76
2022-06-30,89.22,$5.60,15.93
2022-03-31,112.49,$6.44,17.48
2021-12-31,154.46,$4.06,38.03
2021-09-30,139.32,$2.40,58.16
2021-06-30,131.19,$2.09,62.88
2021-03-31,152.45,$2.38,64.01
2020-12-31,99.45,$2.98,33.38
2020-09-30,95.32,$2.74,34.75
2020-06-30,111.85,$1.62,69.02
2020-03-31,72.72,$-8.62,0.0
2019-12-31,104.29,$-8.33,0.0
2019-09-30,99.54,$-6.67,0.0
2019-06-30,114.15,$-3.26,0.0
2018-12-31,135.7,$8.03,16.91
2018-09-30,274.49,$8.27,33.2
2018-06-30,207.17,$9.18,22.57
2018-03-31,165.16,$7.29,22.67
2017-12-31,136.93,$5.28,25.95
2019-03-31,125.71,$4.56,27.58
2017-09-30,136.15,$3.51,38.8
2017-06-30,121.4,$3.02,40.15
2017-03-31,105.84,$3.08,34.32
2016-12-31,101.61,$2.83,35.95
2016-09-30,102.06,$2.40,42.45
2016-06-30,119.27,$2.21,53.91
2016-03-31,107.09,$2.17,49.3
2015-12-31,108.42,$1.96,55.28
2015-09-30,85.65,$1.78,48.22
2015-06-30,100.9,$1.48,68.25
2015-03-31,77.11,$1.21,63.99
2014-12-31,53.21,$0.96,55.47
2014-09-30,46.99,$1.07,44.09
2014-06-30,62.29,$0.85,73.65
2014-03-31,67.27,$1.00,67.3
2013-12-31,52.6,$0.98,53.72
2013-09-30,43.28,$0.51,84.24
2013-06-30,37.4,$0.49,76.5
2013-03-31,26.65,$0.10,269.46
2012-12-31,20.74,$-0.02,0.0
2012-09-30,17.15,$0.25,67.57
2012-06-30,16.94,$0.26,65.53
2012-03-31,15.95,$-0.10,0.0
2011-12-31,11.87,$-0.04,0.0
2011-09-30,13.68,$-0.49,0.0
2011-06-30,11.95,$-0.80,0.0
2011-03-31,10.0,$-0.66,0.0
2010-12-31,8.92,$-1.35,0.0
2010-09-30,9.48,$7.41,1.28
2010-06-30,8.76,$-1.59,0.0
2010-03-31,10.44,$-1.17,0.0
2009-12-31,13.02,$-1.81,0.0
