Sendas Distribuidora S.A Price to Free Cash Flow Ratio Historical Data,Sendas Distribuidora S.A Price to Free Cash Flow Ratio Historical Data,Sendas Distribuidora S.A Price to Free Cash Flow Ratio Historical Data,Sendas Distribuidora S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.31,,5.44
2024-06-30,9.3,$1.16,8.02
2024-03-31,14.78,$2.12,6.97
2023-12-31,13.82,$2.12,6.52
2023-09-30,12.18,$-0.05,0.0
2023-06-30,14.41,$1.03,13.98
2023-03-31,15.4,$-0.10,0.0
