John Bean Technologies Price to Free Cash Flow Ratio Historical Data,John Bean Technologies Price to Free Cash Flow Ratio Historical Data,John Bean Technologies Price to Free Cash Flow Ratio Historical Data,John Bean Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,99.95,,4.03
2024-06-30,94.87,$24.78,3.83
2024-03-31,104.66,$25.52,4.1
2023-12-31,99.14,$25.36,3.91
2023-09-30,104.71,$2.42,43.22
2023-06-30,120.7,$1.45,83.14
2023-03-31,108.64,$1.07,101.53
2022-12-31,90.71,$1.61,56.32
2022-09-30,85.32,$0.68,125.82
2022-06-30,109.45,$1.56,70.13
2022-03-31,117.33,$1.99,59.04
2021-12-31,151.94,$4.02,37.84
2021-09-30,138.98,$6.57,21.15
2021-06-30,140.93,$7.61,18.53
2021-03-31,131.67,$9.08,14.5
2020-12-31,112.36,$6.83,16.45
2020-09-30,90.6,$6.47,14.01
2020-06-30,84.73,$5.16,16.42
2020-03-31,73.07,$2.67,27.35
2019-12-31,110.69,$2.33,47.61
2019-09-30,97.61,$3.87,25.19
2019-06-30,118.8,$3.60,33.04
2019-03-31,90.04,$3.92,23.0
2018-12-31,70.29,$3.63,19.34
2018-09-30,116.6,$0.84,138.68
2018-06-30,86.81,$2.53,34.31
2018-03-31,110.61,$1.16,95.31
2017-12-31,107.98,$2.16,49.99
2017-09-30,98.44,$2.26,43.48
2017-06-30,95.31,$1.28,74.62
2017-03-31,85.43,$2.00,42.8
2016-12-31,83.39,$1.09,76.22
2016-09-30,68.37,$1.91,35.71
2016-06-30,59.24,$1.18,50.35
2016-03-31,54.5,$1.47,36.99
2015-12-31,48.05,$2.61,18.43
2015-09-30,36.81,$1.48,24.84
2015-06-30,36.08,$2.07,17.47
2015-03-31,34.2,$1.75,19.49
2014-12-31,31.38,$1.42,22.13
2014-09-30,26.79,$0.93,28.84
2014-06-30,29.42,$0.71,41.67
2014-03-31,29.24,$1.24,23.5
2013-12-31,27.68,$1.14,24.25
2013-09-30,23.4,$1.37,17.06
2013-06-30,19.69,$1.46,13.52
2013-03-31,19.36,$2.10,9.22
2012-12-31,16.52,$2.15,7.69
2012-09-30,15.12,$1.31,11.51
2012-06-30,12.51,$1.73,7.22
2012-03-31,14.86,$0.38,39.18
2011-12-31,14.03,$0.55,25.69
2011-09-30,12.96,$1.01,12.88
2011-06-30,17.47,$-0.11,0.0
2011-03-31,17.33,$0.56,31.0
2010-12-31,18.07,$-0.20,0.0
2010-09-30,14.4,$0.34,42.45
2010-06-30,13.57,$0.60,22.78
2010-03-31,15.55,$0.99,15.73
2009-12-31,15.02,$1.26,11.93
