Certara Price to Free Cash Flow Ratio Historical Data,Certara Price to Free Cash Flow Ratio Historical Data,Certara Price to Free Cash Flow Ratio Historical Data,Certara Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.57,,36.18
2024-06-30,13.85,$0.32,43.31
2024-03-31,17.88,$0.38,46.62
2023-12-31,17.59,$0.42,41.43
2023-09-30,14.54,$0.51,28.62
2023-06-30,18.21,$0.46,39.44
2023-03-31,24.11,$0.50,47.93
2022-12-31,16.07,$0.50,32.01
2022-09-30,13.28,$0.42,31.57
2022-06-30,21.46,$0.41,52.34
2022-03-31,21.48,$0.37,58.82
2021-12-31,28.42,$0.34,82.71
2021-09-30,33.1,$0.50,66.39
