Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,368.5,,21.87
2024-07-31,365.92,$16.85,21.72
2024-04-30,332.18,$17.95,18.51
2024-01-31,348.73,$17.91,19.47
2023-10-31,279.4,$17.67,15.81
2023-07-31,325.58,$16.10,20.23
2023-04-30,290.96,$2.63,110.76
2023-01-31,311.6,$0.15,2037.94
2022-10-31,282.99,$-0.76,0.0
2022-07-31,285.7,$0.21,1342.59
2022-01-31,344.13,$13.24,26.0
2021-10-31,347.16,$23.27,14.92
2021-07-31,304.93,$23.58,12.93
2021-04-30,299.16,$22.52,13.28
2021-01-31,248.77,$25.17,9.88
2022-04-30,283.38,$17.74,15.97
2020-10-31,243.65,$16.64,14.64
2020-07-31,241.27,$16.20,14.9
2020-04-30,198.59,$11.17,17.78
2020-01-31,204.62,$10.04,20.39
2019-10-31,209.1,$10.22,20.45
2019-07-31,189.33,$10.09,18.77
2019-04-30,179.24,$10.07,17.8
2019-01-31,160.29,$9.38,17.09
2018-10-31,152.72,$8.74,17.48
2018-07-31,170.64,$8.62,19.79
2018-04-30,158.78,$8.14,19.5
2018-01-31,171.62,$8.60,19.96
2017-10-31,140.91,$8.29,17.01
2017-07-31,126.41,$7.56,16.71
2017-04-30,131.14,$7.42,17.68
2017-01-31,114.88,$6.65,17.29
2016-10-31,101.34,$6.75,15.01
2016-07-31,114.24,$7.11,16.07
2016-04-30,110.07,$6.45,17.06
2016-01-31,102.82,$6.17,16.67
2015-10-31,100.65,$6.09,16.53
2015-07-31,94.77,$5.70,16.63
2015-04-30,86.18,$3.04,28.34
2015-01-31,83.68,$1.52,54.94
2014-10-31,77.78,$1.08,71.79
2014-07-31,64.15,$1.80,35.54
2014-01-31,60.27,$4.41,13.66
2013-10-31,60.79,$5.68,10.7
2013-07-31,61.35,$6.65,9.23
2013-04-30,56.66,$5.98,9.47
2013-01-31,51.41,$5.31,9.67
2014-04-30,62.72,$4.68,13.41
2012-10-31,46.94,$3.34,14.05
2012-07-31,39.7,$3.39,11.7
2012-04-30,39.17,$3.79,10.34
2012-01-31,33.37,$3.49,9.55
2011-10-31,26.71,$3.28,8.14
2011-07-31,25.87,$2.92,8.87
2011-04-30,27.32,$2.22,12.32
2011-01-31,26.86,$2.16,12.46
2010-10-31,22.4,$2.09,10.71
2010-07-31,20.49,$2.54,8.08
2010-04-30,25.14,$2.73,9.22
2010-01-31,19.84,$2.56,7.74
2009-10-31,17.63,$4.79,3.68
