CMB.TECH Nv Price to Free Cash Flow Ratio Historical Data,CMB.TECH Nv Price to Free Cash Flow Ratio Historical Data,CMB.TECH Nv Price to Free Cash Flow Ratio Historical Data,CMB.TECH Nv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.17,,2.56
2024-03-31,15.27,$6.31,2.42
2023-12-31,16.15,$-1.16,0.0
2023-03-31,13.56,$0.42,31.94
2022-03-31,8.54,$0.45,19.11
2021-03-31,7.39,$0.60,12.42
2020-03-31,8.02,$1.11,7.24
2019-03-31,5.79,$0.67,8.61
2018-03-31,5.75,$1.00,5.74
2017-03-31,5.5,$2.26,2.43
2016-03-31,6.59,$1.24,5.31
2015-12-31,8.82,$1.28,6.88
