SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,226.66,,19.89
2024-06-30,195.42,$11.40,17.15
2024-03-31,214.65,$11.79,18.21
2023-12-31,250.17,$12.01,20.83
2023-09-30,196.68,$10.64,18.48
2023-06-30,226.84,$10.84,20.92
2023-03-31,254.55,$9.87,25.79
2022-12-31,272.36,$9.79,27.81
2022-09-30,275.92,$10.08,27.37
2022-06-30,309.57,$9.51,32.56
2022-03-31,332.08,$3.03,109.52
2021-12-31,374.62,$2.57,145.55
2021-09-30,317.81,$2.56,124.39
2021-06-30,305.89,$3.11,98.47
2020-12-31,269.61,$8.79,30.67
2020-09-30,303.88,$11.66,26.07
2020-06-30,283.82,$11.74,24.18
2020-03-31,256.8,$10.98,23.4
2019-12-31,228.83,$10.64,21.51
2021-03-31,265.86,$7.54,35.27
2019-09-30,228.63,$6.70,34.14
2019-06-30,212.87,$6.34,33.58
2019-03-31,189.03,$6.40,29.55
2018-12-31,153.27,$6.01,25.48
2018-09-30,152.08,$6.01,25.3
2018-06-30,156.33,$5.91,26.44
2018-03-31,161.82,$5.67,28.53
2017-12-31,154.67,$5.55,27.88
2017-09-30,136.38,$5.43,25.12
2017-06-30,127.72,$5.29,24.14
2017-03-31,113.96,$5.08,22.45
2016-12-31,97.76,$4.81,20.3
2016-09-30,106.19,$4.49,23.65
2016-06-30,102.2,$4.30,23.74
2016-03-31,94.84,$4.03,23.52
2015-12-31,99.48,$4.02,24.72
2015-09-30,99.04,$3.78,26.22
2015-06-30,108.85,$3.53,30.81
2015-03-31,110.87,$1.87,59.19
2014-12-31,104.87,$1.84,56.95
2014-09-30,105.0,$1.51,69.72
2014-06-30,96.86,$1.58,61.18
2013-12-31,85.06,$2.57,33.06
2013-09-30,76.18,$1.53,49.84
2013-06-30,70.18,$2.30,30.5
2013-03-31,68.17,$1.98,34.46
2012-12-31,67.2,$1.89,35.51
2012-09-30,59.55,$2.40,24.86
2012-06-30,54.01,$1.32,40.77
2012-03-31,48.11,$1.18,40.94
2011-12-31,40.67,$1.09,37.17
2011-09-30,32.64,$1.15,28.37
2011-06-30,36.16,$1.15,31.42
2011-03-31,37.57,$0.53,71.19
2010-12-31,38.76,$1.16,33.31
2010-09-30,38.16,$1.04,36.59
2010-06-30,32.2,$1.17,27.63
2014-03-31,86.12,$1.91,45.01
2010-03-31,34.15,$1.37,24.96
2009-12-31,32.34,$1.51,21.48
