Talos Energy Price to Free Cash Flow Ratio Historical Data,Talos Energy Price to Free Cash Flow Ratio Historical Data,Talos Energy Price to Free Cash Flow Ratio Historical Data,Talos Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.75,,8.65
2024-06-30,12.15,$1.13,10.77
2024-03-31,13.93,$0.32,42.9
2023-12-31,14.23,$0.25,56.09
2023-09-30,16.44,$0.46,36.08
2023-06-30,13.87,$1.68,8.26
2023-03-31,14.84,$3.53,4.21
2022-12-31,18.88,$4.64,4.07
2022-09-30,16.65,$4.47,3.73
2022-06-30,15.47,$3.28,4.72
2022-03-31,15.79,$2.20,7.16
2021-12-31,9.8,$1.50,6.51
2021-09-30,13.77,$0.34,40.35
2021-06-30,15.64,$-0.51,0.0
2021-03-31,12.04,$-1.33,0.0
2020-12-31,8.24,$-0.90,0.0
2020-09-30,6.45,$-0.79,0.0
2020-06-30,9.2,$0.14,63.71
2020-03-31,5.75,$0.40,14.22
2019-12-31,30.15,$-1.18,0.0
2019-09-30,20.33,$0.41,49.62
2019-06-30,24.05,$0.49,49.22
2019-03-31,26.56,$-0.64,0.0
