Champion Homes Price to Free Cash Flow Ratio Historical Data,Champion Homes Price to Free Cash Flow Ratio Historical Data,Champion Homes Price to Free Cash Flow Ratio Historical Data,Champion Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,99.15,,32.11
2024-06-30,67.75,$3.09,21.94
2024-03-31,85.01,$2.94,28.92
2023-12-31,74.26,$3.73,19.91
2023-09-30,63.72,$3.79,16.81
2023-06-30,65.45,$6.80,9.62
2023-03-31,75.23,$6.35,11.85
2022-12-31,51.51,$6.58,7.83
2022-09-30,52.87,$6.48,8.16
2022-06-30,47.42,$3.63,13.06
2022-03-31,54.88,$3.36,16.32
2021-12-31,78.98,$3.29,24.04
2021-09-30,60.06,$2.81,21.39
2021-06-30,53.3,$2.45,21.79
2021-03-31,45.26,$2.59,17.45
2020-12-31,30.94,$1.81,17.1
2020-09-30,26.77,$1.43,18.76
2020-06-30,24.34,$1.26,19.39
2020-03-31,15.68,$1.10,14.21
2019-12-31,31.7,$1.28,24.74
2019-09-30,30.09,$1.30,23.18
2019-06-30,27.38,$1.34,20.43
2019-03-31,19.0,$0.99,19.11
2018-12-31,14.69,$0.48,30.6
2018-09-30,28.57,$1.14,24.99
2018-06-30,35.04,$0.26,134.25
2018-03-31,21.6,$0.55,39.24
2018-02-28,21.0,$0.67,31.32
2017-12-31,12.61,$-0.06,0.0
2017-11-30,12.0,$0.30,40.36
2017-09-30,11.87,$0.40,29.81
2017-08-31,11.71,$1.58,7.42
2017-06-30,5.91,$0.87,6.77
2017-05-31,5.16,$1.05,4.9
2017-03-31,9.25,$0.39,24.02
2017-02-28,11.83,$-0.28,0.0
2016-11-30,12.57,$0.09,141.02
2016-08-31,11.78,$0.05,237.5
2016-05-31,10.13,$0.82,12.32
2016-02-29,3.96,$0.16,25.26
2015-11-30,3.63,$0.04,84.47
2015-08-31,3.25,$-0.06,0.0
2015-05-31,3.24,$-0.96,0.0
2015-02-28,3.54,$-0.62,0.0
2014-11-30,3.78,$-1.32,0.0
2014-08-31,3.43,$-1.43,0.0
2014-05-31,4.72,$0.53,8.85
2014-02-28,5.63,$-1.05,0.0
2013-11-30,4.78,$-1.13,0.0
2013-08-31,4.68,$-1.11,0.0
2013-05-31,4.0,$-3.19,0.0
2013-02-28,4.51,$-1.60,0.0
2012-11-30,4.02,$-1.64,0.0
2012-08-31,4.64,$-1.31,0.0
2012-05-31,4.46,$1.66,2.68
2012-02-29,7.9,$-1.48,0.0
2011-11-30,5.66,$-1.84,0.0
2011-08-31,10.62,$-2.51,0.0
2011-05-31,17.64,$-4.00,0.0
2011-02-28,19.23,$-2.29,0.0
2010-11-30,18.01,$-1.50,0.0
2010-08-31,17.23,$-1.60,0.0
2010-05-31,17.61,$-1.84,0.0
2010-02-28,15.74,$-1.72,0.0
2009-11-30,15.06,$-2.13,0.0
