Franklin BSP Realty Trust Price to Free Cash Flow Ratio Historical Data,Franklin BSP Realty Trust Price to Free Cash Flow Ratio Historical Data,Franklin BSP Realty Trust Price to Free Cash Flow Ratio Historical Data,Franklin BSP Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.03,,5.35
2024-06-30,12.6,$2.43,5.18
2024-03-31,13.36,$3.19,4.19
2023-12-31,13.51,$2.87,4.71
2023-09-30,13.24,$2.78,4.76
2023-06-30,14.16,$3.68,3.85
2023-03-31,11.93,$2.99,3.99
2022-12-31,12.9,$2.15,6.0
2022-09-30,10.77,$2.55,4.23
