Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.42,,22.26
2024-06-30,27.1,$1.64,16.56
2024-03-31,30.4,$14.57,2.09
2023-12-31,30.23,$3.82,7.92
2023-09-30,27.81,$-18.83,0.0
2023-06-30,34.11,$1.58,21.59
2023-03-31,31.23,$-12.44,0.0
2022-12-31,28.33,$0.87,32.7
2022-09-30,32.51,$-1.57,0.0
2022-06-30,34.32,$-4.73,0.0
2022-03-31,39.29,$1.37,28.58
2021-12-31,35.75,$1.77,20.14
2021-09-30,32.69,$10.05,3.25
2021-06-30,32.08,$5.42,5.92
2021-03-31,30.46,$0.70,43.68
2020-12-31,27.98,$2.50,11.2
2020-09-30,26.72,$0.57,47.22
2020-06-30,22.82,$9.93,2.3
2020-03-31,19.73,$9.13,2.16
2019-12-31,24.24,$2.33,10.4
2019-09-30,23.83,$-1.32,0.0
2019-06-30,20.41,$-2.16,0.0
2019-03-31,19.66,$-3.76,0.0
2018-12-31,16.01,$1.31,12.18
2018-09-30,18.5,$11.11,1.66
2018-06-30,17.6,$11.86,1.48
2018-03-31,18.85,$2.77,6.82
2017-12-31,20.05,$2.05,9.78
2017-09-30,19.12,$-8.63,0.0
2017-06-30,17.95,$-9.42,0.0
2017-03-31,16.78,$0.28,60.68
2016-12-31,14.36,$0.19,75.28
2016-09-30,14.68,$-0.39,0.0
2016-06-30,12.64,$0.17,72.79
2016-03-31,11.61,$0.69,16.82
2015-06-30,11.8,$1.03,11.51
2015-03-31,11.89,$1.08,11.02
2014-12-31,10.81,$0.75,14.51
2014-09-30,9.7,$0.10,93.53
2014-06-30,10.53,$0.03,321.98
2014-03-31,9.84,$-0.03,0.0
2015-12-31,10.28,$0.20,50.37
2013-12-31,9.66,$0.81,11.91
2013-09-30,9.26,$0.64,14.48
2013-06-30,8.78,$0.73,12.04
2013-03-31,9.05,$0.21,42.2
2012-12-31,8.29,$-0.01,0.0
2012-09-30,8.27,$-0.92,0.0
2012-06-30,7.72,$-1.19,0.0
2012-03-31,7.19,$-0.81,0.0
2011-12-31,6.22,$-0.38,0.0
2011-09-30,5.39,$0.71,7.6
2011-06-30,5.48,$1.23,4.47
2011-03-31,4.74,$0.87,5.47
2015-09-30,9.85,$0.45,21.75
2010-12-31,4.43,$0.29,15.27
2010-09-30,4.03,$-0.22,0.0
2010-06-30,3.25,$-0.23,0.0
2010-03-31,3.47,$-0.14,0.0
2009-12-31,3.26,0,0.0
