Sibanye Gold Price to Free Cash Flow Ratio Historical Data,Sibanye Gold Price to Free Cash Flow Ratio Historical Data,Sibanye Gold Price to Free Cash Flow Ratio Historical Data,Sibanye Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.07,,inf
2023-12-31,5.43,0.0,0.0
2023-06-30,6.24,0.0,0.0
2022-12-31,10.66,0.0,0.0
2022-06-30,9.97,0.0,0.0
2021-12-31,12.27,0.0,0.0
2021-06-30,15.6,0.0,0.0
2020-12-31,14.29,0.0,0.0
2014-12-31,5.89,0.0,0.0
2014-06-30,8.41,0.0,0.0
2013-12-31,3.56,0.0,0.0
2013-06-30,2.13,0.0,0.0
2018-12-31,2.53,0.0,0.0
2018-06-30,2.16,0.0,0.0
2017-12-31,4.33,0.0,0.0
2017-06-30,3.9,0.0,0.0
2016-12-31,5.84,0.0,0.0
2016-06-30,11.07,0.0,0.0
2015-12-31,4.88,0.0,0.0
2020-06-30,7.72,0.0,0.0
