Informatica Price to Free Cash Flow Ratio Historical Data,Informatica Price to Free Cash Flow Ratio Historical Data,Informatica Price to Free Cash Flow Ratio Historical Data,Informatica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.0,,26.17
2024-06-30,30.88,$1.03,29.93
2024-03-31,35.0,$1.08,32.43
2023-12-31,28.39,$0.90,31.53
2023-09-30,21.07,$0.74,28.31
2023-06-30,18.5,$0.75,24.69
2023-03-31,16.4,$0.68,23.98
2022-12-31,16.29,$0.69,23.53
2022-09-30,20.07,$1.36,14.77
