MP Materials Price to Free Cash Flow Ratio Historical Data,MP Materials Price to Free Cash Flow Ratio Historical Data,MP Materials Price to Free Cash Flow Ratio Historical Data,MP Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.29,,0.0
2024-06-30,12.73,$-1.41,0.0
2024-03-31,14.3,$-1.52,0.0
2023-12-31,19.85,$-1.12,0.0
2023-09-30,19.1,$-1.06,0.0
2023-06-30,22.88,$-0.78,0.0
2023-03-31,28.19,$-0.35,0.0
2022-12-31,24.28,$0.09,277.49
2022-09-30,27.3,$0.48,56.32
2022-06-30,32.08,$0.37,86.54
2022-03-31,57.34,$0.28,203.69
2021-12-31,45.42,$-0.11,0.0
2021-09-30,32.23,$-0.18,0.0
2021-06-30,36.86,$-0.18,0.0
2021-03-31,35.95,$-0.29,0.0
