GeneDx Holdings Price to Free Cash Flow Ratio Historical Data,GeneDx Holdings Price to Free Cash Flow Ratio Historical Data,GeneDx Holdings Price to Free Cash Flow Ratio Historical Data,GeneDx Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.0,,0.0
2024-06-30,26.14,$-4.06,0.0
2024-03-31,9.13,$-5.33,0.0
2023-12-31,2.75,$-7.48,0.0
2023-09-30,3.64,$-15.33,0.0
2023-06-30,5.96,$-19.91,0.0
2023-03-31,0.37,$-23.83,0.0
2022-12-31,0.26,$-32.58,0.0
2022-09-30,0.88,$-63.77,0.0
2022-06-30,1.26,"$2,750.97",0.0
2022-03-31,3.07,$-76.03,0.0
2021-12-31,4.46,"$2,243.15",0.0
2021-09-30,7.59,$-23.78,0.0
