InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.65,,18.46
2024-06-30,24.76,$1.61,15.42
2023-12-31,25.34,$-0.55,0.0
2023-09-30,23.81,$-1.55,0.0
2023-06-30,23.14,$-2.23,0.0
2023-03-31,23.4,$-2.01,0.0
2022-12-31,23.67,$0.63,37.73
2024-03-31,25.71,$-0.32,0.0
2022-09-30,21.33,$0.29,73.5
