Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,554.41,,28.86
2024-06-30,562.9,$19.21,29.3
2024-03-31,559.3,$18.54,30.16
2023-12-31,542.91,$17.94,30.26
2023-09-30,481.6,$13.02,37.0
2023-06-30,477.45,$9.52,50.15
2023-03-31,436.94,$6.04,72.39
2022-12-31,427.76,$6.22,68.77
2022-09-30,355.45,$11.04,32.21
2022-06-30,389.46,$12.93,30.12
2022-03-31,465.42,$17.53,26.54
2021-12-31,484.11,$18.34,26.39
2021-09-30,438.55,$18.37,23.88
2021-06-30,461.67,$15.51,29.76
2021-03-31,395.48,$15.82,25.01
2020-12-31,422.14,$14.03,30.09
2020-09-30,386.41,$13.10,29.49
2020-06-30,379.22,$15.60,24.31
2020-03-31,304.04,$14.16,21.48
2019-12-31,344.92,$13.40,25.74
2019-09-30,346.76,$13.29,26.1
2019-06-30,355.71,$13.47,26.42
2019-03-31,331.68,$13.15,25.23
2018-12-31,258.5,$13.14,19.68
2018-09-30,286.9,$12.27,23.39
2018-06-30,266.84,$11.31,23.59
2018-03-31,271.04,$10.45,25.93
2017-12-31,249.71,$11.35,22.0
2017-09-30,234.34,$10.45,22.42
2017-06-30,222.59,$10.55,21.1
2017-03-31,198.18,$10.58,18.73
2016-12-31,175.38,$9.01,19.46
2016-09-30,174.51,$9.03,19.33
2016-06-30,162.82,$8.19,19.88
2016-03-31,174.19,$8.22,21.2
2015-12-31,180.58,$8.76,20.61
2015-09-30,148.88,$8.71,17.09
2015-06-30,163.61,$8.69,18.82
2015-03-31,162.93,$8.39,19.41
2014-12-31,147.86,$7.93,18.64
2014-09-30,138.16,$7.71,17.93
2014-06-30,137.71,$8.00,17.22
2014-03-31,125.73,$7.99,15.73
2013-12-31,130.41,$7.58,17.19
2013-09-30,124.79,$7.36,16.95
2013-06-30,116.51,$6.90,16.89
2013-03-31,119.25,$6.70,17.8
2012-12-31,104.42,$6.42,16.26
2012-09-30,102.65,$6.22,16.51
2012-06-30,91.95,$5.85,15.73
2012-03-31,92.36,$6.23,14.82
2011-12-31,80.79,$5.70,14.17
2011-09-30,63.99,$5.39,11.88
2011-06-30,77.25,$5.16,14.98
2011-03-31,80.08,$4.74,16.89
2010-12-31,70.69,$4.87,14.51
2010-09-30,60.2,$4.57,13.18
2010-06-30,51.59,$4.06,12.7
2010-03-31,53.24,$4.11,12.95
2009-12-31,48.12,$3.68,13.07
