HashiCorp Price to Free Cash Flow Ratio Historical Data,HashiCorp Price to Free Cash Flow Ratio Historical Data,HashiCorp Price to Free Cash Flow Ratio Historical Data,HashiCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.79,,243.8
2024-07-31,33.75,$0.14,243.51
2024-04-30,32.46,$0.01,0.0
2024-01-31,21.86,$-0.12,0.0
2023-10-31,19.69,$-0.16,0.0
2023-07-31,29.61,$-0.29,0.0
2023-04-30,26.81,$-0.41,0.0
2023-01-31,32.18,$-0.50,0.0
2022-10-31,30.73,$-0.96,0.0
