Day One Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,Day One Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,Day One Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data,Day One Biopharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.08,,0.0
2024-06-30,13.78,$-2.06,0.0
2024-03-31,16.52,$-2.06,0.0
2023-12-31,14.6,$-1.84,0.0
2023-09-30,12.27,$-1.86,0.0
2023-06-30,11.94,$-1.75,0.0
2023-03-31,13.37,$-1.67,0.0
2022-12-31,21.52,$-1.68,0.0
2022-09-30,20.03,$-1.75,0.0
2022-06-30,17.9,$-1.14,0.0
2022-03-31,9.92,$-1.68,0.0
