DLocal Price to Free Cash Flow Ratio Historical Data,DLocal Price to Free Cash Flow Ratio Historical Data,DLocal Price to Free Cash Flow Ratio Historical Data,DLocal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.0,,19.62
2024-06-30,8.09,$0.46,17.63
2024-03-31,14.7,$0.82,17.92
2023-12-31,17.69,$0.97,18.32
2023-09-30,19.17,$0.62,30.8
2023-06-30,12.21,$0.87,14.07
2023-03-31,16.22,$0.52,31.24
2022-12-31,15.57,$0.49,31.77
2022-09-30,20.52,$0.75,27.29
2022-06-30,26.25,$0.69,37.88
