Petco Health And Wellness Price to Free Cash Flow Ratio Historical Data,Petco Health And Wellness Price to Free Cash Flow Ratio Historical Data,Petco Health And Wellness Price to Free Cash Flow Ratio Historical Data,Petco Health And Wellness Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.58,,0.0
2024-07-31,3.46,$-0.11,0.0
2024-04-30,1.5,$-0.10,0.0
2024-01-31,2.39,$-0.04,0.0
2023-10-31,3.46,$0.24,14.61
2023-07-31,8.16,$0.47,17.44
2023-04-30,9.96,$0.20,48.73
2023-01-31,11.69,$0.26,44.21
2022-10-31,10.53,$-0.02,0.0
2022-07-31,13.92,$-0.07,0.0
2022-04-30,19.26,$0.16,118.3
2022-01-31,18.75,$0.45,41.69
2021-10-31,24.73,$1.00,24.69
