Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,272.03,,29.91
2024-06-30,273.93,$9.09,30.12
2024-03-31,288.58,$9.08,31.77
2023-12-31,306.18,$9.83,31.14
2023-09-30,280.55,$10.50,26.71
2023-06-30,322.04,$6.86,46.98
2023-03-31,285.61,$7.58,37.67
2022-12-31,249.7,$6.63,37.68
2022-09-30,207.61,$5.84,35.53
2022-06-30,191.53,$4.14,46.28
2022-03-31,267.63,$5.07,52.74
2021-12-31,332.02,$6.59,50.35
2021-09-30,278.92,$9.74,28.63
2021-06-30,270.4,$10.97,24.64
2021-03-31,249.94,$10.03,24.93
2020-12-31,235.16,$9.82,23.94
2020-09-30,205.99,$8.76,23.51
2020-06-30,197.95,$9.92,19.94
2020-03-31,139.53,$9.89,14.11
2019-12-31,186.44,$9.10,20.49
2019-09-30,150.73,$8.83,17.07
2019-06-30,148.91,$7.50,19.85
2019-03-31,158.55,$7.39,21.46
2018-12-31,135.24,$9.26,14.6
2018-09-30,167.59,$9.26,18.1
2018-06-30,147.77,$7.31,20.2
2018-03-31,154.06,$6.89,22.37
2017-12-31,172.87,$6.18,27.98
2017-09-30,156.23,$6.88,22.72
2017-06-30,141.32,$8.17,17.3
2017-03-31,135.21,$7.88,17.17
2016-12-31,116.12,$7.34,15.82
2016-09-30,105.07,$6.34,16.58
2016-06-30,98.02,$6.82,14.37
2016-03-31,96.49,$6.86,14.07
2015-12-31,86.38,$7.29,11.85
2015-09-30,84.83,$7.86,10.79
2015-06-30,103.62,$7.61,13.62
2015-03-31,95.93,$7.55,12.7
2014-12-31,91.46,$6.86,13.33
2014-09-30,89.83,$6.39,14.06
2014-06-30,101.8,$6.44,15.82
2014-03-31,100.81,$6.43,15.68
2013-12-31,95.16,$6.33,15.03
2013-09-30,85.68,$6.17,13.89
2013-06-30,66.27,$6.52,10.16
2013-03-31,68.42,$6.25,10.95
2012-12-31,66.21,$6.61,10.02
2012-09-30,54.49,$4.06,13.43
2012-06-30,51.42,$2.61,19.71
2012-03-31,61.69,$2.31,26.7
2011-12-31,56.5,$2.15,26.33
2011-09-30,42.86,$3.64,11.77
2011-06-30,65.96,$2.83,23.29
2011-03-31,71.65,$2.29,31.29
2010-12-31,54.07,$2.05,26.37
2010-09-30,46.3,$2.81,16.46
2010-06-30,36.57,$3.31,11.04
2010-03-31,41.79,$3.71,11.25
2009-12-31,34.63,$3.81,9.1
