TaskUs Price to Free Cash Flow Ratio Historical Data,TaskUs Price to Free Cash Flow Ratio Historical Data,TaskUs Price to Free Cash Flow Ratio Historical Data,TaskUs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.12,,9.43
2024-06-30,13.31,$1.29,10.35
2024-03-31,11.65,$1.31,8.9
2023-12-31,13.07,$1.17,11.16
2023-09-30,10.38,$1.10,9.45
2023-06-30,11.32,$1.27,8.92
2023-03-31,14.44,$1.20,11.99
2022-12-31,16.9,$1.01,16.78
2022-09-30,16.1,$0.73,22.0
2022-06-30,16.86,$-0.79,0.0
2022-03-31,38.46,$-0.79,0.0
