Sportradar Group AG Price to Free Cash Flow Ratio Historical Data,Sportradar Group AG Price to Free Cash Flow Ratio Historical Data,Sportradar Group AG Price to Free Cash Flow Ratio Historical Data,Sportradar Group AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.59,,8.81
2024-06-30,11.18,$1.43,7.83
2024-03-31,11.64,$1.54,7.54
2023-12-31,11.05,$1.40,7.89
2023-09-30,10.01,$0.99,10.11
2023-06-30,12.9,$0.63,20.46
2023-03-31,11.63,$0.17,66.76
2022-12-31,9.96,0,0.0
2022-09-30,8.8,0,0.0
