Matterport Price to Free Cash Flow Ratio Historical Data,Matterport Price to Free Cash Flow Ratio Historical Data,Matterport Price to Free Cash Flow Ratio Historical Data,Matterport Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.79,,0.0
2024-06-30,4.47,$-0.15,0.0
2024-03-31,2.26,$-0.17,0.0
2023-12-31,2.69,$-0.23,0.0
2023-09-30,2.17,$-0.27,0.0
2023-06-30,3.15,$-0.36,0.0
2023-03-31,2.73,$-0.45,0.0
2022-12-31,2.8,$-0.47,0.0
2022-09-30,3.79,$-0.61,0.0
2022-06-30,3.66,$-0.44,0.0
2022-03-31,8.12,$-0.44,0.0
2021-12-31,20.64,$-0.36,0.0
