Sociedad Quimica Y Minera S.A Price to Free Cash Flow Ratio Historical Data,Sociedad Quimica Y Minera S.A Price to Free Cash Flow Ratio Historical Data,Sociedad Quimica Y Minera S.A Price to Free Cash Flow Ratio Historical Data,Sociedad Quimica Y Minera S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.6,,0.0
2024-06-30,40.75,$-1.60,0.0
2024-03-31,48.94,$-1.60,0.0
2023-12-31,59.96,$-4.55,0.0
2023-09-30,58.08,$1.62,35.96
2023-06-30,70.0,$5.52,12.67
2023-03-31,74.83,$5.05,14.82
2022-12-31,73.71,$11.11,6.64
2022-09-30,81.14,$8.03,10.11
2022-06-30,73.19,$3.88,18.88
2022-03-31,73.08,$3.54,20.67
2021-12-31,43.05,$0.38,112.5
2021-09-30,44.62,$-0.25,0.0
2021-06-30,39.09,$-0.55,0.0
2021-03-31,43.58,$-0.78,0.0
2020-12-31,40.31,$-0.89,0.0
2020-09-30,26.35,$-0.12,0.0
2020-06-30,21.19,$0.05,456.6
2020-03-31,18.0,$0.13,136.98
2019-12-31,21.3,$0.40,52.82
2019-09-30,21.96,$0.41,53.98
2019-06-30,24.32,$0.58,42.14
2019-03-31,29.42,$0.76,38.63
2018-12-31,29.32,$1.06,27.54
2018-09-30,34.61,$1.76,19.69
2018-06-30,35.94,$2.11,17.07
2018-03-31,35.95,$2.31,15.55
2017-12-31,43.43,$2.34,18.55
2017-09-30,40.36,$2.12,19.02
2017-06-30,23.76,$2.15,11.05
2017-03-31,24.31,$2.05,11.84
2016-12-31,20.26,$1.93,10.52
2016-09-30,18.52,$1.42,13.04
2016-06-30,17.02,$1.03,16.47
2016-03-31,13.73,$1.10,12.51
2015-12-31,12.7,$1.20,10.57
2015-09-30,9.53,$1.51,6.3
2015-06-30,10.5,$1.48,7.09
2015-03-31,11.88,$1.83,6.5
2014-12-31,15.54,$1.82,8.54
2014-09-30,16.73,$1.81,9.24
2014-06-30,18.23,$2.14,8.53
2014-03-31,19.65,$1.36,14.5
2013-12-31,16.03,$0.97,16.52
2013-09-30,18.47,$0.91,20.35
2013-03-31,33.4,$0.77,43.54
2012-12-31,34.72,$0.77,45.17
2012-09-30,36.61,$1.21,30.3
2012-06-30,33.07,$0.57,58.03
2012-03-31,34.71,$0.26,133.13
2011-12-31,31.86,$0.28,112.69
2011-09-30,28.01,$0.24,116.06
2011-06-30,37.91,$0.91,41.83
2011-03-31,32.25,$1.22,26.52
2010-12-31,34.1,$1.08,31.61
2010-09-30,28.02,$0.33,84.42
2010-06-30,18.94,$0.66,28.91
2010-03-31,21.61,$0.11,204.79
2009-12-31,21.71,$0.01,0.0
2013-06-30,24.42,$0.38,65.09
