British American Tobacco Price to Free Cash Flow Ratio Historical Data,British American Tobacco Price to Free Cash Flow Ratio Historical Data,British American Tobacco Price to Free Cash Flow Ratio Historical Data,British American Tobacco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.37,,inf
2023-12-31,27.36,0.0,0.0
2023-06-30,28.94,0.0,0.0
2022-12-31,34.13,0.0,0.0
2022-06-30,34.85,0.0,0.0
2021-12-31,29.91,0.0,0.0
2021-06-30,29.63,0.0,0.0
2020-12-31,27.72,0.0,0.0
2020-06-30,27.13,0.0,0.0
2019-12-31,29.12,0.0,0.0
2019-06-30,23.11,0.0,0.0
2018-12-31,20.43,0.0,0.0
2018-06-30,31.27,0.0,0.0
2017-12-31,40.52,0.0,0.0
2017-06-30,40.59,0.0,0.0
2016-12-31,32.57,0.0,0.0
2015-12-31,30.79,0.0,0.0
2015-06-30,29.78,0.0,0.0
2014-12-31,28.86,0.0,0.0
2014-06-30,31.46,0.0,0.0
2013-12-31,27.53,0.0,0.0
2013-06-30,26.04,0.0,0.0
2012-12-31,24.94,0.0,0.0
2012-06-30,24.84,0.0,0.0
2011-12-31,22.45,0.0,0.0
2011-06-30,20.54,0.0,0.0
2010-12-31,17.56,0.0,0.0
