RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,283.49,,4.49
2024-06-30,223.17,$63.12,3.54
2024-03-31,234.26,$43.21,5.42
2023-12-31,195.04,$40.15,4.86
2023-09-30,196.56,$44.72,4.4
2023-06-30,184.89,$44.65,4.14
2023-03-31,198.19,$43.51,4.55
2022-12-31,181.9,$37.26,4.88
2022-09-30,138.33,$29.15,4.75
2022-06-30,153.7,$25.46,6.04
2022-03-31,155.42,$25.89,6.0
2021-12-31,165.59,$26.18,6.33
2021-09-30,136.03,$33.04,4.12
2021-06-30,144.86,$30.15,4.81
2021-03-31,155.61,$35.46,4.39
2020-12-31,160.67,$42.24,3.8
2020-09-30,164.13,$47.00,3.49
2020-06-30,165.04,$50.53,3.27
2020-03-31,143.82,$51.49,2.79
2019-12-31,188.34,$49.50,3.8
2019-09-30,185.55,$37.36,4.97
2019-06-30,170.43,$39.94,4.27
2019-03-31,137.13,$40.63,3.37
2018-12-31,127.47,$30.73,4.15
2018-09-30,127.04,$32.96,3.85
2018-06-30,114.14,$26.52,4.3
2018-03-31,131.05,$19.85,6.6
2017-12-31,118.54,$25.74,4.61
2017-09-30,127.22,$17.52,7.26
2017-06-30,130.59,$16.70,7.82
2017-03-31,135.54,$6.85,19.79
2016-12-31,127.37,$8.05,15.81
2016-09-30,112.09,$9.98,11.23
2016-06-30,109.27,$5.95,18.35
2015-12-31,104.74,$9.76,10.73
2015-09-30,98.12,$20.18,4.86
2015-06-30,93.41,$15.89,5.88
2015-03-31,91.51,$19.25,4.75
2014-12-31,88.94,$25.39,3.5
2016-03-31,111.19,$9.94,11.19
2014-09-30,91.21,$19.27,4.73
2014-06-30,97.32,$18.33,5.31
2014-03-31,88.53,$16.24,5.45
2013-12-31,88.03,$18.03,4.88
2013-09-30,81.63,$12.29,6.64
2013-06-30,78.01,$12.49,6.24
2013-03-31,82.41,$14.00,5.89
2012-12-31,72.57,$14.45,5.02
2012-09-30,68.57,$10.36,6.62
2012-06-30,67.42,$8.62,7.82
2012-03-31,66.92,$6.75,9.92
2011-12-31,65.49,$3.27,20.03
2011-09-30,55.97,$3.51,15.96
2011-06-30,61.13,$4.35,14.05
2011-03-31,60.07,$4.85,12.38
2010-12-31,55.23,$8.89,6.21
2010-09-30,51.79,$11.45,4.52
2010-06-30,48.4,$11.31,4.28
2010-03-31,48.61,$11.20,4.34
2009-12-31,45.31,$9.63,4.71
