Cellebrite DI Price to Free Cash Flow Ratio Historical Data,Cellebrite DI Price to Free Cash Flow Ratio Historical Data,Cellebrite DI Price to Free Cash Flow Ratio Historical Data,Cellebrite DI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.49,,39.32
2024-06-30,11.95,$0.47,25.41
2024-03-31,11.08,$0.49,22.55
2023-12-31,8.66,$0.51,17.01
2023-09-30,7.65,$0.45,17.1
2023-06-30,7.2,$0.31,23.18
2023-03-31,6.09,$0.20,30.96
2022-12-31,4.36,$0.07,62.29
2022-09-30,3.92,$0.02,186.67
2022-06-30,5.1,$0.11,47.98
2022-03-31,6.4,$0.13,50.79
2021-12-31,8.02,$0.20,40.48
2021-06-30,9.93,$0.06,156.38
