Lightspeed Commerce Price to Free Cash Flow Ratio Historical Data,Lightspeed Commerce Price to Free Cash Flow Ratio Historical Data,Lightspeed Commerce Price to Free Cash Flow Ratio Historical Data,Lightspeed Commerce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.72,,0.0
2024-06-30,13.69,$-0.60,0.0
2024-03-31,14.06,$-0.68,0.0
2023-12-31,20.99,$-0.77,0.0
2023-09-30,14.03,$-0.82,0.0
2023-06-30,16.92,$-0.83,0.0
2023-03-31,15.18,$-0.89,0.0
2022-12-31,14.3,$-0.72,0.0
2022-09-30,17.58,$-0.88,0.0
2022-06-30,22.3,$-0.81,0.0
2022-03-31,30.47,$-0.69,0.0
2021-12-31,40.43,$-0.83,0.0
2021-09-30,96.43,$-0.96,0.0
2021-06-30,83.61,$-1.02,0.0
