PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.63,,45.88
2023-12-31,3.34,$0.14,23.11
2023-09-30,3.66,$-0.03,0.0
2023-06-30,4.44,$1.72,2.58
2023-03-31,5.0,$-0.02,0.0
2022-09-30,4.48,$-0.02,0.0
2022-06-30,4.5,$-0.00,0.0
2021-12-31,9.91,$-1.66,0.0
2021-06-30,10.2,$0.02,573.03
2021-03-31,10.24,$-0.09,0.0
