ZipRecruiter Price to Free Cash Flow Ratio Historical Data,ZipRecruiter Price to Free Cash Flow Ratio Historical Data,ZipRecruiter Price to Free Cash Flow Ratio Historical Data,ZipRecruiter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.92,,13.54
2024-06-30,9.09,$0.73,12.41
2024-03-31,11.49,$0.84,13.7
2023-12-31,13.9,$0.87,15.89
2023-09-30,11.99,$0.92,13.05
2023-06-30,17.76,$0.89,20.06
2023-03-31,15.94,$0.91,17.43
2022-12-31,16.42,$0.97,16.85
2022-09-30,16.5,$1.14,14.43
2022-06-30,14.82,$1.24,11.98
2022-03-31,22.98,$1.22,18.86
