Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,177.0,,28.67
2024-06-30,155.41,$6.17,25.17
2024-03-31,145.49,$7.93,18.36
2023-12-31,156.9,$7.05,22.25
2023-09-30,117.75,$2.51,47.0
2023-06-30,142.52,$2.72,52.44
2022-12-31,137.92,$-0.70,0.0
2022-09-30,160.32,$-1.17,0.0
2022-06-30,156.69,$3.08,50.92
2022-03-31,187.6,$2.40,78.27
2021-12-31,205.27,$2.58,79.61
2023-03-31,154.25,$3.56,43.3
2021-09-30,151.19,$2.37,63.87
2021-06-30,146.44,$4.02,36.41
2021-03-31,117.75,$4.39,26.81
2020-12-31,102.15,$3.83,26.64
2020-09-30,93.56,$4.45,21.05
2020-03-31,82.3,$3.75,21.97
2019-12-31,89.94,$2.26,39.85
2019-09-30,98.61,$1.03,95.71
2019-06-30,88.87,$1.02,86.97
2019-03-31,84.66,$0.80,105.64
2018-12-31,74.52,$1.16,64.19
2020-06-30,80.13,$2.43,32.93
2018-09-30,70.73,$0.72,98.2
2018-06-30,80.71,$0.65,123.63
2018-03-31,70.03,$1.74,40.24
2017-12-31,69.47,$1.62,42.99
2017-09-30,62.92,$0.89,70.39
2017-06-30,60.81,$-1.11,0.0
2017-03-31,57.4,$-2.47,0.0
2016-12-31,58.97,$-4.09,0.0
2016-09-30,59.98,$-2.71,0.0
2016-06-30,69.19,$-1.04,0.0
2016-03-31,69.26,$-1.29,0.0
2015-12-31,64.93,$-0.13,0.0
2015-09-30,56.4,$-0.86,0.0
2015-06-30,47.29,$-1.02,0.0
2015-03-31,48.57,$0.05,1033.42
2014-12-31,41.85,$-1.60,0.0
2014-09-30,36.51,$-2.42,0.0
2014-06-30,37.37,$-2.44,0.0
2014-03-31,33.74,$-2.62,0.0
2013-12-31,29.07,$-0.75,0.0
2013-09-30,31.26,$-0.83,0.0
2013-06-30,28.39,$-3.65,0.0
2013-03-31,26.33,$-3.73,0.0
2012-12-31,24.24,$-3.79,0.0
2012-09-30,21.99,$-2.48,0.0
2012-06-30,20.01,$0.01,0.0
2012-03-31,18.69,$-0.70,0.0
2011-12-31,15.62,$-0.67,0.0
2011-09-30,11.94,$-0.44,0.0
2011-06-30,13.58,$-0.40,0.0
2011-03-31,13.09,$0.61,21.41
2010-12-31,10.92,$0.31,35.41
2010-09-30,10.01,$0.54,18.48
2010-06-30,8.62,$0.49,17.73
2009-12-31,7.06,$-0.23,0.0
2009-09-30,6.37,$0.08,80.03
