Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Price to Free Cash Flow Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Price to Free Cash Flow Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Price to Free Cash Flow Ratio Historical Data,Empresa Distribuidora Y Comercializadora Norte S.A (Edenor) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.19,,0.0
2024-06-30,16.39,$-4.41,0.0
2024-03-31,17.69,$-3.73,0.0
2023-12-31,19.37,$-4.20,0.0
2023-09-30,12.0,$-1.70,0.0
2023-06-30,15.42,$-1.86,0.0
2023-03-31,8.06,$-0.86,0.0
2022-12-31,7.99,$0.65,12.27
2022-09-30,6.7,$0.96,6.99
2022-06-30,4.36,$1.66,2.62
2022-03-31,6.74,$1.67,4.03
2021-12-31,5.3,$1.59,3.33
2021-09-30,6.74,$0.83,8.13
2021-06-30,4.85,$2.44,1.98
2021-03-31,3.58,$2.60,1.38
2020-12-31,4.24,$2.43,1.74
2020-09-30,3.11,$4.03,0.77
2020-06-30,3.95,$1.14,3.46
2020-03-31,3.24,$1.62,2.0
2019-12-31,6.26,$0.37,16.81
2019-09-30,7.04,$-1.60,0.0
2019-06-30,18.16,$-0.99,0.0
2019-03-31,19.6,$-1.69,0.0
2018-12-31,27.06,$1.08,25.11
2018-09-30,25.0,$2.69,9.31
2018-06-30,32.49,$3.04,10.7
2018-03-31,57.53,$2.30,24.97
2017-12-31,49.7,$-0.47,0.0
2017-09-30,39.75,$-0.61,0.0
2017-06-30,31.9,$-1.03,0.0
2017-03-31,34.8,$-0.26,0.0
2016-12-31,27.85,$0.69,40.4
2016-09-30,19.8,$0.94,21.02
2016-06-30,17.51,$3.41,5.13
2016-03-31,16.7,$1.09,15.27
2015-12-31,17.53,$2.64,6.65
2015-09-30,12.79,$2.80,4.57
2015-06-30,12.93,$0.48,26.99
2015-03-31,16.16,$1.78,9.05
2014-12-31,9.37,$0.41,22.95
2014-09-30,11.12,$-1.90,0.0
2014-06-30,12.62,$-1.00,0.0
2014-03-31,7.4,$-0.31,0.0
2013-12-31,5.06,$0.00,0.0
2013-09-30,4.4,$2.74,1.6
2013-06-30,2.03,$0.53,3.84
2013-03-31,2.48,$0.50,4.98
2012-12-31,1.95,0,0.0
2012-09-30,2.15,$-1.78,0.0
2012-06-30,2.0,$-0.33,0.0
2012-03-31,3.85,$-1.29,0.0
2011-12-31,5.26,$-0.77,0.0
2011-09-30,6.1,$0.83,7.34
2011-06-30,10.02,$0.83,12.05
2011-03-31,10.47,$0.38,27.61
2010-12-31,13.63,$0.83,16.39
2010-09-30,7.84,$1.57,4.98
2010-06-30,6.36,$1.57,4.04
2010-03-31,7.03,$2.62,2.68
2009-12-31,7.9,$1.57,5.02
