Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data,Arhaus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.56,,15.41
2024-03-31,15.39,$0.62,24.8
2023-12-31,11.85,$0.54,22.06
2023-09-30,9.3,$0.63,14.66
2023-06-30,10.43,$0.21,49.45
2023-03-31,8.29,$0.00,0.0
2022-12-31,9.75,$-0.02,0.0
2024-06-30,16.94,$0.16,107.76
2022-09-30,7.05,$0.98,7.23
