SilverCrest Metals Price to Free Cash Flow Ratio Historical Data,SilverCrest Metals Price to Free Cash Flow Ratio Historical Data,SilverCrest Metals Price to Free Cash Flow Ratio Historical Data,SilverCrest Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.27,,29.04
2024-06-30,8.15,$0.35,23.05
2024-03-31,6.66,$0.50,13.45
2023-12-31,6.55,$0.73,9.03
2023-09-30,4.41,$0.58,7.6
2023-06-30,5.86,$0.23,25.5
2023-03-31,7.14,$-0.21,0.0
2022-12-31,6.0,$-0.52,0.0
2022-09-30,5.53,$-0.93,0.0
2022-06-30,6.11,$-0.92,0.0
2022-03-31,8.91,$-0.94,0.0
2021-12-31,7.91,$-1.07,0.0
2021-09-30,6.98,$-1.01,0.0
2021-06-30,8.73,$-1.03,0.0
2021-03-31,8.08,$-0.94,0.0
2020-12-31,11.18,$-0.73,0.0
2020-09-30,8.49,$-0.68,0.0
2020-06-30,9.16,$-0.62,0.0
2020-03-31,5.22,$-0.59,0.0
2019-12-31,6.74,$-0.57,0.0
2019-06-30,4.06,$-0.14,0.0
2019-03-31,3.28,$-0.31,0.0
