Descartes Systems Group Price to Free Cash Flow Ratio Historical Data,Descartes Systems Group Price to Free Cash Flow Ratio Historical Data,Descartes Systems Group Price to Free Cash Flow Ratio Historical Data,Descartes Systems Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.0,,98.25
2024-07-31,101.65,$1.09,93.33
2024-04-30,92.79,$1.28,72.22
2024-01-31,87.59,$1.12,78.01
2023-10-31,72.21,$2.32,31.13
2023-07-31,77.87,$2.27,34.36
2023-04-30,79.18,$2.21,35.84
2023-01-31,73.02,$2.16,33.88
2022-10-31,69.07,$2.11,32.79
2022-07-31,69.04,$2.02,34.24
2022-04-30,62.15,$2.03,30.67
2022-01-31,72.77,$1.99,36.62
2021-10-31,81.77,$1.89,43.38
2021-07-31,72.66,$1.78,40.93
2021-04-30,64.06,$1.63,39.36
2021-01-31,61.06,$1.49,41.08
2020-10-31,53.76,$1.40,38.36
2020-07-31,56.33,$1.31,43.0
2020-04-30,42.08,$1.23,34.14
2020-01-31,44.81,$1.20,37.38
2019-10-31,38.91,$1.12,34.75
2019-07-31,36.3,$1.07,34.0
2019-04-30,39.98,$0.99,40.49
2019-01-31,31.06,$0.94,33.18
2018-10-31,30.59,$0.93,33.06
2018-07-31,31.9,$0.91,35.22
2018-04-30,29.55,$0.90,33.0
2018-01-31,28.35,$0.87,32.6
2017-10-31,29.05,$0.87,33.33
2017-07-31,25.1,$0.91,27.47
2017-04-30,23.15,$0.90,25.79
2017-01-31,21.85,$0.88,24.71
2016-10-31,20.8,$0.84,24.71
2016-07-31,20.2,$0.75,27.03
2016-04-30,18.43,$0.70,26.26
2016-01-31,17.8,$0.65,27.24
2015-10-31,17.49,$0.61,28.5
2015-07-31,16.87,$0.57,29.66
2015-04-30,15.0,$0.64,23.62
2015-01-31,15.32,$0.61,24.98
2014-10-31,13.87,$0.63,21.95
2014-07-31,13.5,$0.65,20.71
2014-04-30,13.56,$0.60,22.51
2014-01-31,14.38,$0.62,23.11
2013-10-31,12.38,$0.65,19.1
2013-07-31,11.27,$0.58,19.33
2013-04-30,9.95,$0.51,19.67
2013-01-31,9.41,$0.42,22.4
2012-10-31,8.6,$0.31,27.93
2012-07-31,8.32,$0.32,25.8
2012-04-30,8.31,$0.29,28.3
2012-01-31,8.04,$0.30,26.66
2011-10-31,7.44,$0.34,21.81
2011-07-31,6.89,$0.44,15.71
2011-04-30,6.63,$0.35,18.87
2011-01-31,6.97,$0.31,22.15
2010-10-31,6.32,$0.23,27.74
2010-07-31,5.93,$0.09,65.09
2010-04-30,6.13,$0.19,32.47
2010-01-31,5.93,$0.24,24.86
2009-10-31,5.22,$0.52,10.13
