Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data,Nextracker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.57,,15.77
2024-06-30,46.88,$2.13,22.02
2024-03-31,56.27,$2.87,19.6
2023-12-31,46.85,$2.13,22.01
