Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data,Atour Lifestyle Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.03,,14.32
2024-06-30,18.35,$1.82,10.09
2024-03-31,17.94,$1.75,10.25
2023-12-31,17.36,$1.98,8.75
2023-09-30,18.85,$1.66,11.39
