ChampionX Price to Free Cash Flow Ratio Historical Data,ChampionX Price to Free Cash Flow Ratio Historical Data,ChampionX Price to Free Cash Flow Ratio Historical Data,ChampionX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.18,,14.05
2024-06-30,33.02,$2.22,14.88
2024-03-31,35.59,$2.46,14.45
2023-12-31,28.88,$2.06,14.0
2023-09-30,35.13,$2.18,16.13
2023-06-30,30.53,$2.41,12.67
2023-03-31,26.6,$2.22,11.98
2022-12-31,28.35,$1.59,17.88
2022-09-30,19.07,$1.12,17.06
2022-06-30,19.34,$0.64,30.15
2022-03-31,23.69,$0.59,40.36
2021-12-31,19.56,$1.20,16.36
2021-09-30,21.64,$1.87,11.58
2021-06-30,24.82,$1.85,13.42
2021-03-31,21.03,$1.88,11.2
2020-12-31,14.81,$1.85,8.0
2020-09-30,7.73,$1.17,6.62
2020-06-30,9.45,$1.57,6.01
2020-03-31,5.56,$1.68,3.31
2019-12-31,32.69,$1.56,21.02
2019-09-30,26.18,$1.94,13.48
2019-06-30,32.46,$1.50,21.65
2019-03-31,39.74,$1.54,25.76
