Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data,Skyworks Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,109.59,,11.27
2024-06-30,105.88,$9.72,10.89
2024-03-31,106.84,$9.89,10.8
2023-12-31,110.16,$10.51,10.48
2023-09-30,95.92,$10.27,9.34
2023-06-30,107.01,$8.92,12.0
2023-03-31,113.39,$7.88,14.38
2022-12-31,87.1,$7.24,12.03
2022-09-30,80.95,$5.73,14.14
2022-06-30,87.43,$6.06,14.42
2022-03-31,125.1,$6.32,19.78
2021-12-31,145.02,$7.52,19.29
2021-09-30,153.48,$6.79,22.6
2021-06-30,178.05,$6.66,26.75
2021-03-31,169.86,$6.88,24.7
2020-12-31,141.16,$5.32,26.55
2020-09-30,133.86,$4.80,27.9
2020-06-30,117.22,$6.01,19.52
2020-03-31,81.64,$5.57,14.67
2019-12-31,109.99,$4.87,22.6
2019-09-30,71.79,$5.55,12.93
2019-06-30,69.58,$4.18,16.64
2019-03-31,73.86,$3.85,19.16
2018-12-31,59.67,$5.14,11.6
2018-09-30,80.33,$4.58,17.55
2018-06-30,85.25,$5.84,14.59
2018-03-31,88.15,$6.53,13.49
2017-12-31,83.23,$5.59,14.89
2017-09-30,89.06,$6.18,14.42
2017-06-30,83.6,$6.59,12.69
2017-03-31,85.13,$5.96,14.3
2016-12-31,64.67,$5.64,11.47
2016-09-30,65.71,$4.62,14.21
2016-06-30,54.38,$2.86,19.01
2016-03-31,66.68,$2.99,22.32
2015-12-31,65.47,$2.73,24.0
2015-09-30,71.39,$2.89,24.73
2015-06-30,88.15,$3.08,28.64
2015-03-31,83.11,$3.17,26.22
2014-12-31,61.39,$3.71,16.56
2014-09-30,48.91,$2.93,16.71
2014-06-30,39.48,$2.92,13.51
2014-03-31,31.46,$2.42,12.98
2013-12-31,23.95,$2.08,11.53
2013-09-30,20.83,$1.96,10.65
2013-06-30,18.36,$1.45,12.67
2013-03-31,18.47,$1.32,14.01
2012-12-31,17.02,$1.25,13.64
2012-09-30,19.76,$1.00,19.83
2012-06-30,22.91,$1.46,15.71
2012-03-31,23.19,$1.76,13.17
2011-12-31,13.6,$1.60,8.52
2011-09-30,15.06,$1.39,10.83
2011-06-30,19.27,$1.07,18.05
2011-03-31,27.17,$0.78,34.83
2010-12-31,24.01,$0.69,34.87
2010-09-30,17.33,$0.73,23.63
2010-06-30,14.08,$0.85,16.63
2010-03-31,13.08,$1.00,13.05
2009-12-31,11.9,$1.27,9.35
