GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data,GigaCloud Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.45,,8.58
2024-06-30,30.42,$2.85,10.67
2024-03-31,26.72,$2.98,8.96
2023-12-31,18.3,$3.17,5.78
2023-09-30,8.81,$2.39,3.69
2023-06-30,6.76,$2.14,3.15
