Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data,Sigma Lithium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.57,,0.0
2024-06-30,12.03,$-0.38,0.0
2024-03-31,12.96,$-0.27,0.0
2023-12-31,31.53,$-0.43,0.0
2023-09-30,32.44,$-0.86,0.0
2023-06-30,40.3,$-0.81,0.0
2022-09-30,27.19,$0.32,84.6
2022-06-30,15.4,$0.08,196.43
2022-03-31,13.59,$-0.23,0.0
