PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,185.09,,9.54
2024-06-30,154.02,$19.40,7.94
2024-03-31,158.45,$24.94,6.35
2023-12-31,150.27,$25.21,5.96
2023-09-30,117.6,$22.88,5.14
2023-06-30,119.17,$30.88,3.86
2023-03-31,118.84,$29.07,4.09
2022-12-31,146.33,$22.05,6.64
2022-09-30,137.07,$20.49,6.69
2022-06-30,143.36,$15.76,9.09
2022-03-31,166.21,$3.67,45.31
2021-12-31,179.68,$10.54,17.05
2021-09-30,174.24,$3.26,53.44
2021-06-30,168.78,$6.76,24.97
2020-12-31,130.0,$10.91,11.91
2020-09-30,94.9,$21.00,4.52
2020-06-30,89.86,$21.91,4.1
2020-03-31,80.75,$16.30,4.95
2019-12-31,133.65,$22.91,5.83
2021-03-31,154.18,$11.38,13.55
2019-09-30,116.41,$14.02,8.31
2019-06-30,113.08,$15.13,7.48
2019-03-31,100.31,$13.61,7.37
2018-12-31,94.86,$16.68,5.69
2018-09-30,109.67,$13.93,7.87
2018-06-30,108.06,$16.55,6.53
2018-03-31,120.35,$14.39,8.37
2017-12-31,114.26,$11.48,9.95
2017-09-30,106.13,$12.13,8.75
2017-06-30,97.76,$10.04,9.74
2017-03-31,93.69,$9.69,9.67
2016-12-31,90.71,$7.00,12.96
2016-09-30,69.44,$8.25,8.42
2016-06-30,62.32,$8.96,6.95
2016-03-31,64.37,$10.66,6.04
2015-12-31,72.12,$10.60,6.8
2015-09-30,67.11,$8.86,7.58
2015-06-30,71.59,$7.12,10.06
2015-03-31,69.4,$0.45,154.16
2014-12-31,67.52,$-0.64,0.0
2014-09-30,62.97,$5.15,12.24
2014-06-30,65.17,$4.52,14.41
2013-12-31,56.12,$10.44,5.37
2013-09-30,52.09,$13.28,3.92
2013-06-30,52.12,$9.06,5.75
2013-03-31,47.22,$9.54,4.95
2012-12-31,41.13,$12.87,3.2
2012-09-30,44.22,$13.39,3.3
2012-06-30,42.55,$11.64,3.66
2012-03-31,44.62,$13.16,3.39
2011-12-31,39.67,$11.47,3.46
2011-09-30,32.92,$10.10,3.26
2011-06-30,40.47,$9.23,4.39
2014-03-31,63.29,$6.10,10.38
2011-03-31,42.52,$6.09,6.98
2010-12-31,40.93,$9.25,4.42
2010-09-30,34.92,$15.60,2.24
2010-06-30,37.95,$17.77,2.14
2010-03-31,40.04,$15.23,2.63
2009-12-31,35.34,$12.65,2.79
