Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.23,,0.0
2023-09-30,2.64,$-0.72,0.0
2023-06-30,3.82,$-0.68,0.0
2023-03-31,3.79,$-0.72,0.0
2022-12-31,5.31,$-0.55,0.0
2022-09-30,5.06,$-0.52,0.0
2022-06-30,8.81,$-0.17,0.0
2022-03-31,11.37,$0.76,15.04
2021-09-30,10.22,$-0.14,0.0
