IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.0,,3.82
2022-03-31,11.08,$0.79,14.11
2021-12-31,14.1,$0.83,16.99
2023-12-31,4.6,$0.84,5.5
2023-09-30,5.55,$1.15,4.83
2023-06-30,9.78,$1.24,7.88
2023-03-31,8.76,$1.11,7.86
2022-12-31,6.15,$1.05,5.84
2022-09-30,5.58,$0.60,9.25
