Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.27,,11.2
2024-07-31,33.3,$2.70,12.33
2024-04-30,33.03,$3.22,10.27
2024-01-31,30.97,$3.29,9.42
2023-10-31,26.57,$3.33,7.98
2023-07-31,27.77,$3.48,7.99
2023-04-30,18.79,$3.14,5.99
2023-01-31,25.37,$2.70,9.4
2022-10-31,21.64,$1.96,11.05
2022-07-31,23.94,$1.68,14.25
2022-04-30,18.63,$0.70,26.64
2022-01-31,21.04,$1.17,17.91
2021-10-31,19.94,$1.79,11.15
2021-07-31,23.82,$2.50,9.51
2021-04-30,26.09,$3.34,7.8
2021-01-31,20.96,$2.44,8.6
2020-10-31,17.29,$2.30,7.51
2020-07-31,13.28,$2.63,5.05
2020-04-30,11.72,$2.17,5.4
2020-01-31,16.52,$2.62,6.32
2019-10-31,17.91,$2.21,8.11
2019-07-31,17.22,$1.86,9.26
2019-04-30,15.39,$1.67,9.19
2019-01-31,14.33,$1.43,10.01
2018-10-31,13.49,$2.24,6.01
2018-07-31,16.05,$1.55,10.35
2018-04-30,15.51,$1.55,10.03
2018-01-31,18.68,$1.50,12.43
2017-10-31,19.78,$1.35,14.61
2017-07-31,19.34,$1.39,13.92
2017-04-30,18.31,$1.27,14.44
2017-01-31,17.7,$1.59,11.13
2016-10-31,14.58,$1.51,9.65
2016-07-31,17.83,$1.62,10.99
2016-04-30,16.77,$1.61,10.44
2016-01-31,16.44,$1.24,13.27
2015-10-31,16.72,$1.08,15.44
2015-07-31,17.76,$0.34,52.83
2015-04-30,17.04,$0.16,104.58
2015-01-31,16.59,$-0.21,0.0
2014-10-31,17.6,$-0.32,0.0
2014-07-31,14.99,$0.41,36.52
2014-04-30,16.49,$0.63,26.28
2014-01-31,16.55,$0.81,20.37
2013-10-31,15.49,$0.16,96.35
2013-07-31,14.8,$-0.48,0.0
2013-04-30,14.12,$-0.77,0.0
2013-01-31,17.88,$-1.41,0.0
2012-10-31,17.08,$-0.44,0.0
2012-07-31,14.57,$0.24,61.37
2012-04-30,15.85,$0.27,58.0
2012-01-31,14.1,$0.67,21.02
2011-10-31,12.58,$0.74,17.03
2011-07-31,13.32,$0.42,31.9
2011-04-30,17.78,$0.67,26.57
2011-01-31,16.5,$1.75,9.44
2010-10-31,15.22,$1.98,7.7
2010-07-31,14.82,$2.03,7.31
2010-04-30,15.98,$1.92,8.32
2010-01-31,13.5,$1.50,9.0
2009-10-31,12.46,$1.20,10.39
