Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.23,,7.4
2024-06-30,10.64,$1.52,7.01
2024-03-31,9.12,$1.74,5.24
2023-12-31,7.44,$1.39,5.35
2023-09-30,7.73,$1.15,6.7
2023-06-30,7.83,$0.34,22.8
2023-03-31,6.68,$-0.18,0.0
2022-12-31,8.82,$-0.07,0.0
2022-09-30,6.62,$-0.35,0.0
2022-06-30,6.47,$-0.41,0.0
2022-03-31,8.14,$-0.56,0.0
2021-12-31,5.91,$-0.42,0.0
2021-09-30,4.93,$-0.49,0.0
2021-06-30,5.73,$-0.14,0.0
2021-03-31,4.73,$0.55,8.53
2020-12-31,3.89,$1.02,3.83
2020-09-30,3.65,$1.55,2.35
2020-06-30,4.65,$1.76,2.64
2020-03-31,3.07,$1.43,2.14
2019-12-31,8.81,$1.06,8.29
2019-09-30,8.22,$1.20,6.84
2019-06-30,11.02,$0.98,11.27
2019-03-31,11.41,$0.76,15.08
2018-12-31,6.0,$0.76,7.86
2018-09-30,11.24,$-0.16,0.0
2018-06-30,13.79,$-0.35,0.0
2018-03-31,11.98,$-1.27,0.0
