JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.29,,29.94
2024-06-30,37.55,$1.01,37.12
2024-03-31,44.22,$0.85,51.78
2023-12-31,34.61,$0.76,45.31
2023-09-30,25.36,$0.49,51.85
2023-03-31,19.7,$0.12,165.82
2022-12-31,21.33,$0.17,123.8
2022-09-30,22.11,$0.21,104.1
2022-06-30,21.07,$0.25,85.89
2022-03-31,26.95,$0.02,1796.67
2021-12-31,29.7,$0.17,177.84
2023-06-30,27.7,$0.14,191.7
2021-09-30,33.5,$0.26,130.05
2021-06-30,45.52,$0.83,54.69
