Corebridge Financial Price to Free Cash Flow Ratio Historical Data,Corebridge Financial Price to Free Cash Flow Ratio Historical Data,Corebridge Financial Price to Free Cash Flow Ratio Historical Data,Corebridge Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.72,,8.45
2024-06-30,29.12,$3.75,7.76
2024-03-31,28.73,$5.70,5.04
2023-12-31,21.66,$5.20,4.16
2023-09-30,19.75,$4.76,4.15
2023-06-30,17.66,$6.46,2.73
