Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data,Inter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.58,,2.06
2024-06-30,6.15,$3.19,1.93
2024-03-31,5.71,$3.21,1.78
2023-12-31,5.56,$3.61,1.54
2023-06-30,3.13,$1.73,1.81
2023-03-31,1.7,$-1.68,0.0
2022-12-31,2.37,$1.00,2.36
