AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data,AvalonBay Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,225.73,,50.65
2024-06-30,206.89,$4.46,46.42
2024-03-31,184.05,$5.25,35.03
2023-12-31,183.99,$5.03,36.6
2023-09-30,167.32,$5.71,29.32
2023-06-30,182.64,$7.13,25.63
2023-03-31,160.76,$5.18,31.05
2022-12-31,152.96,$6.01,25.47
2022-09-30,172.74,$5.60,30.84
2022-06-30,180.59,$1.82,99.35
2022-03-31,229.04,$4.81,47.66
2021-12-31,231.47,$4.28,54.07
2021-09-30,200.4,$6.31,31.74
2021-06-30,188.69,$8.48,22.26
2021-03-31,165.58,$6.57,25.21
2020-12-31,142.76,$6.11,23.35
2020-09-30,131.57,$2.51,52.41
2020-06-30,134.78,$2.86,47.11
2020-03-31,126.95,$1.44,87.91
2019-12-31,179.02,$0.93,191.57
2019-09-30,182.49,$3.19,57.18
2019-06-30,170.98,$2.74,62.51
2019-03-31,167.66,$3.03,55.42
2018-12-31,144.28,$2.65,54.36
2018-09-30,148.9,$0.83,180.44
2018-06-30,140.13,$0.65,214.72
2017-12-31,142.93,$1.76,81.19
2017-09-30,141.81,$2.02,70.14
2017-06-30,151.53,$2.51,60.26
2017-03-31,143.71,$2.07,69.3
2016-12-31,137.6,$0.62,223.74
2018-03-31,132.93,$-0.35,0.0
2016-09-30,137.07,$-0.22,0.0
2016-06-30,138.01,$-0.66,0.0
2016-03-31,144.42,$-0.97,0.0
2015-12-31,138.82,$-1.99,0.0
2015-09-30,130.92,$-2.76,0.0
2015-06-30,118.84,$-3.55,0.0
2015-03-31,128.53,$-2.86,0.0
2014-12-31,119.66,$-1.20,0.0
2014-09-30,102.53,$1.44,71.08
2014-06-30,102.58,$1.17,87.55
2014-03-31,93.96,$0.58,162.6
2013-12-31,83.85,$-3.99,0.0
2013-09-30,89.33,$-8.69,0.0
2013-06-30,94.05,$-9.24,0.0
2013-03-31,87.61,$-8.08,0.0
2012-12-31,93.0,$-4.05,0.0
2012-09-30,92.61,$0.58,158.33
2012-06-30,95.66,$1.36,70.36
2012-03-31,94.9,$-1.58,0.0
2011-12-31,87.07,$-0.91,0.0
2011-09-30,75.52,$-3.32,0.0
2011-06-30,84.38,$-1.49,0.0
2010-12-31,72.9,$0.93,78.02
2010-09-30,66.79,$1.36,49.27
2010-06-30,59.49,$1.35,44.14
2010-03-31,54.52,$0.48,112.55
2009-12-31,51.32,$-0.69,0.0
2011-03-31,78.36,$-1.85,0.0
