Valmont Industries Price to Free Cash Flow Ratio Historical Data,Valmont Industries Price to Free Cash Flow Ratio Historical Data,Valmont Industries Price to Free Cash Flow Ratio Historical Data,Valmont Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,310.38,,24.08
2024-06-30,273.88,$12.89,21.25
2024-03-31,227.31,$10.43,21.8
2023-12-31,231.9,$10.01,23.18
2023-09-30,237.94,$11.25,21.14
2023-06-30,287.59,$13.10,21.96
2023-03-31,314.84,$12.00,26.24
2022-12-31,325.46,$10.87,29.94
2022-09-30,263.95,$4.32,61.04
2022-06-30,220.27,$-2.08,0.0
2022-03-31,233.38,$-3.27,0.0
2021-12-31,244.46,$-1.87,0.0
2021-09-30,228.98,$0.02,11008.78
2021-06-30,229.41,$6.56,34.99
2021-03-31,230.48,$8.73,26.4
2020-12-31,169.28,$10.29,16.45
2020-09-30,119.86,$11.62,10.32
2020-06-30,109.25,$11.75,9.29
2020-03-31,101.48,$12.32,8.23
2019-12-31,142.77,$9.91,14.41
2019-09-30,131.63,$10.44,12.61
2019-06-30,120.25,$5.56,21.63
2019-03-31,122.99,$5.07,24.25
2018-12-31,104.59,$6.42,16.29
2018-09-30,130.11,$3.87,33.63
2018-06-30,141.23,$6.27,22.54
2018-03-31,136.72,$4.13,33.09
2017-12-31,154.58,$3.79,40.84
2017-09-30,147.03,$7.67,19.16
2017-06-30,138.8,$6.82,20.36
2017-03-31,143.91,$5.43,26.53
2016-12-31,130.08,$7.93,16.41
2016-09-30,123.91,$7.21,17.18
2016-06-30,124.2,$8.24,15.07
2016-03-31,113.39,$11.12,10.2
2015-12-31,96.78,$9.83,9.85
2015-09-30,86.32,$9.70,8.9
2015-06-30,107.73,$6.32,17.05
2015-03-31,111.03,$5.63,19.71
2014-12-31,114.39,$3.99,28.64
2014-09-30,121.18,$5.07,23.9
2014-06-30,136.08,$7.92,17.18
2014-03-31,132.96,$9.47,14.04
2013-12-31,132.98,$12.17,10.93
2013-09-30,123.67,$9.49,13.03
2013-06-30,127.18,$11.34,11.22
2013-03-31,139.53,$7.89,17.7
2012-12-31,120.8,$3.96,30.49
2012-09-30,116.13,$4.28,27.13
2012-06-30,106.64,$1.44,74.04
2012-03-31,103.3,$1.67,61.86
2011-12-31,79.75,$2.65,30.12
2011-09-30,68.33,$2.72,25.13
2011-06-30,84.33,$2.99,28.2
2011-03-31,91.13,$4.01,22.73
2010-12-31,77.33,$4.83,16.02
2010-09-30,62.98,$5.90,10.67
2010-06-30,63.06,$9.06,6.96
2010-03-31,71.72,$11.33,6.33
2009-12-31,67.81,$11.67,5.81
