Lotus Technology Price to Free Cash Flow Ratio Historical Data,Lotus Technology Price to Free Cash Flow Ratio Historical Data,Lotus Technology Price to Free Cash Flow Ratio Historical Data,Lotus Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.58,,0.0
2024-06-30,6.62,$-1.26,0.0
2024-03-31,6.82,$-1.26,0.0
2023-12-31,10.78,$-1.25,0.0
2023-09-30,10.67,$-0.62,0.0
2023-06-30,10.46,$-0.94,0.0
2023-03-31,10.23,$-0.99,0.0
2022-12-31,10.1,$-1.02,0.0
2022-09-30,9.91,$0.08,117.0
2022-06-30,9.84,$0.09,107.66
2022-03-31,9.75,$-0.02,0.0
