Synopsys Price to Free Cash Flow Ratio Historical Data,Synopsys Price to Free Cash Flow Ratio Historical Data,Synopsys Price to Free Cash Flow Ratio Historical Data,Synopsys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,519.58,,81.28
2024-07-31,558.32,$6.39,87.34
2024-04-30,530.59,$7.04,75.33
2024-01-31,533.35,$8.46,63.05
2023-10-31,469.44,$9.74,48.2
2023-07-31,451.8,$10.25,44.06
2023-04-30,371.32,$9.27,40.06
2023-01-31,353.75,$9.96,35.53
2022-10-31,292.55,$10.22,28.62
2022-07-31,367.5,$10.13,36.3
2022-04-30,286.79,$10.35,27.71
2022-01-31,310.5,$8.68,35.79
2021-10-31,333.18,$8.88,37.53
2021-07-31,287.99,$7.79,36.96
2021-04-30,247.06,$7.53,32.82
2021-01-31,255.45,$6.57,38.9
2020-10-31,213.86,$5.35,40.0
2020-07-31,199.22,$5.21,38.26
2020-04-30,157.12,$4.97,31.62
2020-01-31,147.51,$1.47,100.4
2019-10-31,135.75,$2.42,55.99
2019-07-31,132.76,$3.23,41.09
2019-04-30,121.08,$1.49,81.32
2018-10-31,89.53,$2.11,42.37
2018-07-31,89.43,$6.20,14.42
2018-04-30,85.51,$3.32,25.76
2018-01-31,92.61,$4.70,19.71
2017-10-31,86.52,$5.99,14.44
2019-01-31,93.35,$1.42,65.55
2017-07-31,76.57,$3.38,22.69
2017-04-30,73.7,$3.20,23.01
2017-01-31,62.89,$3.84,16.37
2016-10-31,59.31,$3.33,17.8
2016-07-31,54.16,$3.36,16.11
2016-04-30,47.52,$3.43,13.85
2016-01-31,42.9,$2.91,14.72
2015-10-31,49.98,$2.56,19.53
2015-07-31,50.84,$2.52,20.17
2015-04-30,46.88,$2.92,16.08
2015-01-31,42.99,$2.70,15.93
2014-10-31,40.98,$2.82,14.56
2014-07-31,37.77,$3.12,12.11
2014-04-30,37.62,$2.70,13.94
2014-01-31,39.86,$2.86,13.93
2013-10-31,36.42,$2.74,13.28
2013-07-31,37.04,$2.18,17.01
2013-04-30,35.57,$2.49,14.28
2013-01-31,33.44,$2.51,13.32
2012-10-31,32.2,$2.85,11.29
2012-07-31,30.29,$2.66,11.38
2012-04-30,30.01,$2.74,10.94
2012-01-31,29.17,$2.51,11.62
2011-10-31,26.81,$2.53,10.61
2011-07-31,23.97,$2.73,8.8
2011-04-30,27.39,$2.06,13.31
2011-01-31,27.13,$2.00,13.58
2010-10-31,25.58,$1.97,13.0
2010-07-31,21.84,$1.75,12.45
2010-04-30,22.66,$1.99,11.36
2010-01-31,21.27,$1.63,13.05
2009-10-31,22.02,$1.35,16.29
