First Watch Restaurant Price to Free Cash Flow Ratio Historical Data,First Watch Restaurant Price to Free Cash Flow Ratio Historical Data,First Watch Restaurant Price to Free Cash Flow Ratio Historical Data,First Watch Restaurant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.54,,0.0
2024-06-30,17.56,$-0.27,0.0
2024-03-31,24.62,$0.01,0.0
2023-12-31,20.1,$0.18,113.75
2023-09-30,17.29,$0.31,55.1
2023-06-30,16.9,$0.35,48.37
2023-03-31,16.06,$0.18,90.58
2022-12-31,13.53,$0.01,1136.97
2022-09-30,14.48,$0.60,24.09
