Applied Digital Price to Free Cash Flow Ratio Historical Data,Applied Digital Price to Free Cash Flow Ratio Historical Data,Applied Digital Price to Free Cash Flow Ratio Historical Data,Applied Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.95,,0.0
2024-08-31,3.65,$-1.55,0.0
2024-05-31,4.23,$-0.95,0.0
2024-02-29,4.15,$-0.65,0.0
2023-11-30,4.67,$-0.65,0.0
2023-08-31,6.04,$-0.90,0.0
2023-05-31,8.37,$-0.77,0.0
2023-02-28,2.65,$-1.42,0.0
