J & J Snack Foods Price to Free Cash Flow Ratio Historical Data,J & J Snack Foods Price to Free Cash Flow Ratio Historical Data,J & J Snack Foods Price to Free Cash Flow Ratio Historical Data,J & J Snack Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,168.54,,29.75
2024-06-30,161.62,$5.66,28.53
2024-03-31,143.26,$5.54,25.85
2023-12-31,164.78,$5.54,29.74
2023-09-30,160.63,$3.59,44.78
2023-06-30,154.78,$3.22,48.07
2023-03-31,144.22,$-0.64,0.0
2022-12-31,144.96,$-3.08,0.0
2022-09-30,124.79,$-3.17,0.0
2022-06-30,133.93,$-4.34,0.0
2022-03-31,148.0,$-1.03,0.0
2021-12-31,150.12,$0.10,1568.65
2021-09-30,144.64,$1.48,98.0
2021-06-30,164.4,$1.77,92.8
2021-03-31,147.48,$-0.40,0.0
2020-09-30,121.57,$1.99,61.02
2020-06-30,118.01,$5.37,21.96
2020-03-31,111.82,$5.25,21.3
2019-12-31,169.4,$7.64,22.18
2019-09-30,175.96,$6.93,25.4
2020-12-31,145.4,$3.85,37.77
2019-06-30,147.12,$4.37,33.66
2019-03-31,144.75,$3.91,37.03
2018-12-31,131.33,$3.98,33.0
2018-09-30,137.05,$3.51,39.08
2018-06-30,138.07,$3.79,36.38
2018-03-31,123.29,$3.37,36.54
2017-12-31,136.63,$2.76,49.45
2017-09-30,117.8,$2.93,40.22
2017-06-30,118.09,$3.54,33.36
2017-03-31,120.84,$4.16,29.03
2016-12-31,118.56,$4.38,27.05
2016-09-30,105.51,$3.99,26.47
2016-06-30,105.3,$3.15,33.42
2016-03-31,95.26,$2.71,35.12
2015-12-31,102.26,$2.70,37.89
2015-09-30,99.28,$3.03,32.74
2015-06-30,96.36,$3.40,28.33
2015-03-31,92.6,$3.28,28.25
2014-12-31,94.06,$3.27,28.81
2014-09-30,80.63,$3.68,21.89
2014-06-30,80.85,$3.37,24.01
2014-03-31,82.15,$3.05,26.93
2013-12-31,75.58,$3.41,22.19
2013-09-30,68.61,$2.75,24.95
2013-06-30,66.0,$2.76,23.93
2013-03-31,65.09,$2.74,23.77
2012-12-31,53.95,$2.42,22.28
2012-09-30,48.3,$2.52,19.17
2012-06-30,49.67,$2.30,21.63
2012-03-31,43.99,$2.24,19.67
2011-12-31,44.57,$2.82,15.83
2011-09-30,40.09,$2.75,14.56
2011-06-30,41.49,$2.14,19.37
2011-03-31,39.08,$2.48,15.78
2010-12-31,39.94,$-0.44,0.0
2010-09-30,34.63,$-0.12,0.0
2010-06-30,34.68,$0.48,72.2
2010-03-31,35.72,$-0.03,0.0
2009-09-30,35.3,$2.87,12.29
