Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data,Endeavors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.36,,29.11
2024-06-30,27.03,$1.01,26.8
2024-03-31,25.73,$-0.41,0.0
2023-12-31,23.73,$0.36,66.51
2023-09-30,19.9,$0.61,32.84
2023-06-30,23.92,$1.09,22.01
2023-03-31,23.93,$1.57,15.21
2022-12-31,22.54,$1.25,18.06
2022-09-30,20.26,$1.68,12.08
2022-06-30,20.56,$1.83,11.23
2022-03-31,29.52,$0.80,37.1
