Structure Therapeutics Price to Free Cash Flow Ratio Historical Data,Structure Therapeutics Price to Free Cash Flow Ratio Historical Data,Structure Therapeutics Price to Free Cash Flow Ratio Historical Data,Structure Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.62,,0.0
2024-06-30,39.27,$-2.48,0.0
2024-03-31,42.86,$-2.11,0.0
2023-12-31,40.76,$-2.22,0.0
