Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,138.71,,3.71
2024-06-30,130.12,$37.42,3.48
2024-03-31,129.66,$33.06,3.92
2023-12-31,110.54,$32.52,3.4
2023-09-30,84.51,$29.20,2.89
2023-06-30,113.09,$25.64,4.41
2023-03-31,94.99,$25.51,3.72
2022-12-31,93.51,$24.87,3.76
2022-09-30,86.42,$21.68,3.99
2022-06-30,89.39,$21.32,4.19
2022-03-31,103.57,$20.54,5.04
2021-12-31,108.19,$19.42,5.57
2021-09-30,114.53,$20.30,5.64
2021-06-30,109.86,$18.89,5.82
2021-03-31,87.88,$18.85,4.66
2020-12-31,83.35,$19.33,4.31
2020-09-30,52.89,$18.45,2.87
2020-06-30,45.46,$17.00,2.67
2020-03-31,32.03,$16.87,1.9
2019-12-31,75.72,$18.48,4.1
2019-09-30,72.01,$16.13,4.46
2019-06-30,68.52,$18.18,3.77
2019-03-31,62.52,$17.86,3.5
2018-12-31,51.53,$14.31,3.6
2018-09-30,66.4,$16.55,4.01
2018-06-30,60.85,$16.03,3.8
2018-03-31,61.88,$14.16,4.37
2017-12-31,65.88,$13.34,4.94
2017-09-30,54.93,$12.22,4.5
2017-06-30,52.67,$11.34,4.65
2017-03-31,57.64,$10.29,5.6
2016-12-31,60.49,$10.46,5.78
2016-09-30,47.2,$9.68,4.88
2016-06-30,44.49,$10.35,4.3
2016-03-31,42.06,$11.08,3.79
2015-12-31,44.02,$10.46,4.21
2015-09-30,42.47,$10.52,4.04
2015-03-31,45.58,$7.93,5.75
2014-12-31,52.75,$7.95,6.63
2014-09-30,51.67,$9.10,5.68
2014-06-30,49.53,$5.51,8.98
2014-03-31,46.31,$5.03,9.21
2013-12-31,44.35,$3.87,11.47
2015-06-30,46.83,$3.56,13.14
2013-09-30,39.91,$4.87,8.19
2013-06-30,37.47,$-0.71,0.0
2013-03-31,35.12,$-1.12,0.0
2012-12-31,30.19,$-2.73,0.0
2012-11-30,32.47,$-1.27,0.0
2012-09-30,30.92,$4.73,6.54
2012-08-31,30.15,$5.85,5.15
2012-05-31,25.7,$-0.34,0.0
2012-03-31,25.8,$-0.85,0.0
2012-02-29,23.22,$-0.42,0.0
2011-11-30,18.36,0,0.0
2011-08-31,19.34,$0.03,586.02
2011-05-31,18.28,$-0.42,0.0
2011-02-28,16.64,$0.20,82.21
2010-11-30,13.97,$-0.00,0.0
2010-08-31,11.08,$-0.05,0.0
2010-05-31,10.25,$0.48,21.3
2010-02-28,10.39,$1.01,10.29
2009-11-30,11.75,0,0.0
2009-08-31,10.44,$7.71,1.35
