Sonos Price to Free Cash Flow Ratio Historical Data,Sonos Price to Free Cash Flow Ratio Historical Data,Sonos Price to Free Cash Flow Ratio Historical Data,Sonos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.88,,8.18
2024-06-30,14.76,$1.57,9.38
2024-03-31,19.06,$1.23,15.51
2023-12-31,17.14,$1.24,13.79
2023-09-30,12.91,$0.39,32.89
2023-06-30,16.33,$-0.64,0.0
2023-03-31,19.62,$-0.66,0.0
2022-12-31,16.9,$-0.49,0.0
2022-09-30,13.9,$-0.54,0.0
2022-06-30,18.04,$0.41,44.35
2022-03-31,28.22,$0.87,32.54
2021-12-31,29.8,$1.14,26.03
2021-09-30,32.36,$1.48,21.86
2021-06-30,35.23,$2.16,16.33
2021-03-31,37.47,$2.18,17.21
2020-12-31,23.39,$1.86,12.57
2020-09-30,15.18,$1.17,12.93
2020-06-30,14.63,$0.51,28.84
2020-03-31,8.48,$0.47,18.09
2019-12-31,15.62,$1.03,15.1
2019-09-30,13.41,$0.94,14.29
2019-06-30,11.34,$0.84,13.52
