On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data,On Holding AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.16,,84.24
2024-06-30,38.8,$0.57,67.87
2024-03-31,35.38,$0.35,102.4
2023-06-30,33.0,$0.10,316.7
2022-12-31,17.16,$-0.47,0.0
2022-09-30,16.05,$-0.35,0.0
2022-06-30,17.69,$-0.28,0.0
