Eve Holding Price to Free Cash Flow Ratio Historical Data,Eve Holding Price to Free Cash Flow Ratio Historical Data,Eve Holding Price to Free Cash Flow Ratio Historical Data,Eve Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.46,,0.0
2024-06-30,4.05,$-0.41,0.0
2024-03-31,5.4,$-0.40,0.0
2023-12-31,7.32,$-0.34,0.0
2023-09-30,8.29,$-0.35,0.0
2023-06-30,10.48,$-0.32,0.0
2023-03-31,7.24,$-0.30,0.0
2022-12-31,7.2,$-0.24,0.0
2022-09-30,9.24,$-0.13,0.0
2022-06-30,6.2,$-0.16,0.0
2022-03-31,10.26,$-0.09,0.0
2021-12-31,10.18,$-0.10,0.0
